pin,district,state
783370,KOKRAJHAR,ASSAM
190010,SRINAGAR,JAMMU AND KASHMIR
534123,WEST GODAVARI,ANDHRA PRADESH
690546,KOLLAM,KERALA
441212,CHANDRAPUR,MAHARASHTRA
508278,NALGONDA,TELANGANA
210120,BANDA,UTTAR PRADESH
486440,REWA,MADHYA PRADESH
442102,WARDHA,MAHARASHTRA
502210,SANGAREDDY,TELANGANA
506005,WARANGAL RURAL,TELANGANA
516439,Y.S.R.,ANDHRA PRADESH
734012,DARJEELING,WEST BENGAL
799015,West Tripura,TRIPURA
825414,CHATRA,JHARKHAND
403403,NORTH GOA,GOA
413113,SOLAPUR,MAHARASHTRA
534122,WEST GODAVARI,ANDHRA PRADESH
272190,BASTI,UTTAR PRADESH
444204,BULDHANA,MAHARASHTRA
676317,MALAPPURAM,KERALA
442402,CHANDRAPUR,MAHARASHTRA
591311,BELAGAVI,KARNATAKA
625008,MADURAI,TAMIL NADU
152115,SRI MUKTSAR SAHIB,PUNJAB
483440,KATNI,MADHYA PRADESH
581101,HAVERI,KARNATAKA
841402,SARAN,BIHAR
800020,PATNA,BIHAR
852129,KHAGARIA,BIHAR
700040,KOLKATA,WEST BENGAL
533264,EAST GODAVARI,ANDHRA PRADESH
571201,KODAGU,KARNATAKA
759117,ANUGUL,ODISHA
811212,MUNGER,BIHAR
781125,KAMRUP,ASSAM
768027,BARGARH,ODISHA
754005,CUTTACK,ODISHA
758023,KENDUJHAR,ODISHA
304504,TONK,RAJASTHAN
641042,COIMBATORE,TAMIL NADU
723104,PURULIA,WEST BENGAL
685614,IDUKKI,KERALA
221313,VARANASI,UTTAR PRADESH
481337,BALAGHAT,MADHYA PRADESH
431702,HINGOLI,MAHARASHTRA
424303,DHULE,MAHARASHTRA
760010,GANJAM,ODISHA
506145,JANGOAN,TELANGANA
673004,KOZHIKODE,KERALA
804422,JEHANABAD,BIHAR
824112,AURANGABAD,BIHAR
608703,Ariyalur,TAMIL NADU
576212,UDUPI,KARNATAKA
126114,JIND,HARYANA
700119,24 PARAGANAS NORTH,WEST BENGAL
631303,THIRUVALLUR,TAMIL NADU
207243,Kasganj,UTTAR PRADESH
689589,PATHANAMTHITTA,KERALA
811214,MUNGER,BIHAR
826011,DHANBAD,JHARKHAND
400034,MUMBAI,MAHARASHTRA
383434,SABAR KANTHA,GUJARAT
152107,SRI MUKTSAR SAHIB,PUNJAB
431719,NANDED,MAHARASHTRA
415619,RATNAGIRI,MAHARASHTRA
364005,BHAVNAGAR,GUJARAT
442701,CHANDRAPUR,MAHARASHTRA
171001,SHIMLA,HIMACHAL PRADESH
517291,CHITTOOR,ANDHRA PRADESH
522663,GUNTUR,ANDHRA PRADESH
328022,DHOLPUR,RAJASTHAN
533349,EAST GODAVARI,ANDHRA PRADESH
608502,CUDDALORE,TAMIL NADU
690526,KOLLAM,KERALA
691574,KOLLAM,KERALA
770017,SUNDARGARH,ODISHA
221204,VARANASI,UTTAR PRADESH
263678,ALMORA,UTTARAKHAND
754202,CUTTACK,ODISHA
625022,MADURAI,TAMIL NADU
431112,AURANGABAD,MAHARASHTRA
848129,SAMASTIPUR,BIHAR
585318,KALABURAGI,KARNATAKA
133202,AMBALA,HARYANA
639117,KARUR,TAMIL NADU
636002,SALEM,TAMIL NADU
802209,BHOJPUR,BIHAR
797006,KOHIMA,NAGALAND
141101,LUDHIANA,PUNJAB
144404,HOSHIARPUR,PUNJAB
341304,NAGAUR,RAJASTHAN
561211,CHIKKABALLAPURA,KARNATAKA
583212,BALLARI,KARNATAKA
584135,RAICHUR,KARNATAKA
751034,KHORDHA,ODISHA
683576,ERNAKULAM,KERALA
629172,KANNIYAKUMARI,TAMIL NADU
670631,KANNUR,KERALA
530009,VISAKHAPATANAM,ANDHRA PRADESH
250005,MEERUT,UTTAR PRADESH
770075,SUNDARGARH,ODISHA
311602,BHILWARA,RAJASTHAN
143504,AMRITSAR,PUNJAB
678686,PALAKKAD,KERALA
532216,SRIKAKULAM,ANDHRA PRADESH
795117,CHURACHANDPUR,MANIPUR
126112,JIND,HARYANA
480661,SEONI,MADHYA PRADESH
585320,KALABURAGI,KARNATAKA
641020,COIMBATORE,TAMIL NADU
516270,Y.S.R.,ANDHRA PRADESH
517352,CHITTOOR,ANDHRA PRADESH
686013,KOTTAYAM,KERALA
721504,BANKURA,WEST BENGAL
576282,UDUPI,KARNATAKA
770042,SUNDARGARH,ODISHA
494670,KANKER,CHHATTISGARH
333020,JHUNJHUNU,RAJASTHAN
362135,GIR SOMNATH,GUJARAT
768028,BARGARH,ODISHA
621011,SALEM,TAMIL NADU
403713,SOUTH GOA,GOA
574285,DAKSHINA KANNADA,KARNATAKA
623705,RAMANATHAPURAM,TAMIL NADU
577168,CHIKKAMAGALURU,KARNATAKA
249196,TEHRI GARHWAL,UTTARAKHAND
734311,KALIMPONG,WEST BENGAL
249124,TEHRI GARHWAL,UTTARAKHAND
413528,OSMANABAD,MAHARASHTRA
752080,NAYAGARH,ODISHA
758021,KENDUJHAR,ODISHA
533347,EAST GODAVARI,ANDHRA PRADESH
767038,BALANGIR,ODISHA
325601,KOTA,RAJASTHAN
638057,ERODE,TAMIL NADU
621210,TIRUCHIRAPPALLI,TAMIL NADU
134102,PANCHKULA,HARYANA
680541,THRISSUR,KERALA
362268,GIR SOMNATH,GUJARAT
246726,BIJNOR,UTTAR PRADESH
141126,LUDHIANA,PUNJAB
583214,BALLARI,KARNATAKA
686607,KOTTAYAM,KERALA
784113,UDALGURI,ASSAM
802123,BUXAR,BIHAR
585313,KALABURAGI,KARNATAKA
821310,ROHTAS,BIHAR
410208,RAIGAD,MAHARASHTRA
500079,RANGA REDDY,TELANGANA
621804,Ariyalur,TAMIL NADU
122102,GURUGRAM,HARYANA
643221,THE NILGIRIS,TAMIL NADU
690539,KOLLAM,KERALA
388355,ANAND,GUJARAT
415804,RATNAGIRI,MAHARASHTRA
577542,CHITRADURGA,KARNATAKA
110099,NORTH WEST,DELHI
805102,NAWADA,BIHAR
841435,SIWAN,BIHAR
400009,MUMBAI,MAHARASHTRA
828109,DHANBAD,JHARKHAND
272123,BASTI,UTTAR PRADESH
643204,THE NILGIRIS,TAMIL NADU
274206,DEORIA,UTTAR PRADESH
833105,WEST SINGHBHUM,JHARKHAND
502295,SANGAREDDY,TELANGANA
184121,SAMBA,JAMMU AND KASHMIR
742132,MURSHIDABAD,WEST BENGAL
713214,PASCHIM BARDHAMAN,WEST BENGAL
504104,Nirmal,TELANGANA
362570,DIU,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU
500078,MEDCHAL MALKAJGIRI,TELANGANA
501503,RANGA REDDY,TELANGANA
334201,BIKANER,RAJASTHAN
854104,KATIHAR,BIHAR
604202,VILLUPURAM,TAMIL NADU
591120,BELAGAVI,KARNATAKA
226026,LUCKNOW,UTTAR PRADESH
590020,BELAGAVI,KARNATAKA
505403,RAJANNA SIRCILLA,TELANGANA
732127,MALDAH,WEST BENGAL
515415,ANANTAPUR,ANDHRA PRADESH
400074,MUMBAI SUBURBAN,MAHARASHTRA
761009,GANJAM,ODISHA
413507,OSMANABAD,MAHARASHTRA
627105,TIRUNELVELI,TAMIL NADU
585217,KALABURAGI,KARNATAKA
638116,ERODE,TAMIL NADU
370675,KACHCHH,GUJARAT
680123,THRISSUR,KERALA
243006,BAREILLY,UTTAR PRADESH
635751,Tirupathur,TAMIL NADU
624706,DINDIGUL,TAMIL NADU
127027,BHIWANI,HARYANA
136035,KAITHAL,HARYANA
743373,24 PARAGANAS SOUTH,WEST BENGAL
206241,AURAIYA,UTTAR PRADESH
731244,BIRBHUM,WEST BENGAL
635207,KRISHNAGIRI,TAMIL NADU
813203,BHAGALPUR,BIHAR
232339,GHAZIPUR,UTTAR PRADESH
621316,PUDUKKOTTAI,TAMIL NADU
785615,GOLAGHAT,ASSAM
274202,DEORIA,UTTAR PRADESH
523230,PRAKASAM,ANDHRA PRADESH
784505,SONITPUR,ASSAM
843102,MUZAFFARPUR,BIHAR
361130,JAMNAGAR,GUJARAT
517536,CHITTOOR,ANDHRA PRADESH
534196,WEST GODAVARI,ANDHRA PRADESH
713512,PURBA BARDHAMAN,WEST BENGAL
685535,IDUKKI,KERALA
743405,24 PARAGANAS NORTH,WEST BENGAL
202001,ALIGARH,UTTAR PRADESH
690507,ALAPPUZHA,KERALA
761141,GANJAM,ODISHA
583236,KOPPAL,KARNATAKA
171010,SHIMLA,HIMACHAL PRADESH
445304,YAVATMAL,MAHARASHTRA
781002,KAMRUP METRO,ASSAM
507103,BHADRADRI KOTHAGUDEM,TELANGANA
686632,KOTTAYAM,KERALA
632404,Ranipet,TAMIL NADU
637001,NAMAKKAL,TAMIL NADU
757003,MAYURBHANJ,ODISHA
713216,PASCHIM BARDHAMAN,WEST BENGAL
855101,KISHANGANJ,BIHAR
221402,BHADOHI,UTTAR PRADESH
766014,KALAHANDI,ODISHA
143529,GURDASPUR,PUNJAB
577540,CHITRADURGA,KARNATAKA
614808,NAGAPATTINAM,TAMIL NADU
506345,JAYASHANKAR BHUPALAPALLY,TELANGANA
624306,DINDIGUL,TAMIL NADU
630557,SIVAGANGA,TAMIL NADU
332403,SIKAR,RAJASTHAN
621653,Ariyalur,TAMIL NADU
209310,KANPUR DEHAT,UTTAR PRADESH
796321,CHAMPHAI,MIZORAM
507169,KHAMMAM,TELANGANA
501111,VIKARABAD,TELANGANA
591223,BELAGAVI,KARNATAKA
494122,SUKMA,CHHATTISGARH
125077,SIRSA,HARYANA
741402,NADIA,WEST BENGAL
331504,CHURU,RAJASTHAN
301407,ALWAR,RAJASTHAN
691525,PATHANAMTHITTA,KERALA
761029,GANJAM,ODISHA
250609,BAGHPAT,UTTAR PRADESH
841416,GOPALGANJ,BIHAR
422101,NASHIK,MAHARASHTRA
460665,BETUL,MADHYA PRADESH
486331,REWA,MADHYA PRADESH
581345,UTTARA KANNADA,KARNATAKA
811304,SHEIKHPURA,BIHAR
131028,SONIPAT,HARYANA
520010,KRISHNA,ANDHRA PRADESH
577140,CHIKKAMAGALURU,KARNATAKA
506330,WARANGAL RURAL,TELANGANA
573117,HASSAN,KARNATAKA
144520,HOSHIARPUR,PUNJAB
643214,THE NILGIRIS,TAMIL NADU
385001,BANAS KANTHA,GUJARAT
487118,NARSINGHPUR,MADHYA PRADESH
400005,MUMBAI,MAHARASHTRA
533260,EAST GODAVARI,ANDHRA PRADESH
465550,AGAR MALWA,MADHYA PRADESH
416512,SINDHUDURG,MAHARASHTRA
535124,VIZIANAGARAM,ANDHRA PRADESH
758078,KENDUJHAR,ODISHA
844508,VAISHALI,BIHAR
581111,HAVERI,KARNATAKA
332701,SIKAR,RAJASTHAN
629003,KANNIYAKUMARI,TAMIL NADU
400029,MUMBAI SUBURBAN,MAHARASHTRA
422105,NASHIK,MAHARASHTRA
480771,SEONI,MADHYA PRADESH
364240,BHAVNAGAR,GUJARAT
481663,MANDLA,MADHYA PRADESH
230202,PRATAPGARH,UTTAR PRADESH
203411,BULANDSHAHR,UTTAR PRADESH
576124,UDUPI,KARNATAKA
454111,DHAR,MADHYA PRADESH
757105,MAYURBHANJ,ODISHA
494335,KANKER,CHHATTISGARH
492002,RAIPUR,CHHATTISGARH
670107,KANNUR,KERALA
744104,SOUTH ANDAMANS,ANDAMAN AND NICOBAR ISLANDS
577546,CHITRADURGA,KARNATAKA
852201,SAHARSA,BIHAR
233225,GHAZIPUR,UTTAR PRADESH
225122,BARABANKI,UTTAR PRADESH
416713,RATNAGIRI,MAHARASHTRA
842002,MUZAFFARPUR,BIHAR
788701,KARIMGANJ,ASSAM
365550,AMRELI,GUJARAT
221101,VARANASI,UTTAR PRADESH
249001,TEHRI GARHWAL,UTTARAKHAND
246424,CHAMOLI,UTTARAKHAND
276201,AZAMGARH,UTTAR PRADESH
523261,PRAKASAM,ANDHRA PRADESH
680602,THRISSUR,KERALA
686121,KOTTAYAM,KERALA
742174,MURSHIDABAD,WEST BENGAL
783350,KOKRAJHAR,ASSAM
843131,MUZAFFARPUR,BIHAR
796471,MAMIT,MIZORAM
141414,LUDHIANA,PUNJAB
201307,GAUTAM BUDDHA NAGAR,UTTAR PRADESH
221107,VARANASI,UTTAR PRADESH
383001,SABAR KANTHA,GUJARAT
517423,CHITTOOR,ANDHRA PRADESH
334006,BIKANER,RAJASTHAN
571446,MANDYA,KARNATAKA
424108,JALGAON,MAHARASHTRA
500010,HYDERABAD,TELANGANA
695513,THIRUVANANTHAPURAM,KERALA
140604,S.A.S Nagar,PUNJAB
614906,THANJAVUR,TAMIL NADU
143519,GURDASPUR,PUNJAB
600128,KANCHIPURAM,TAMIL NADU
571450,MANDYA,KARNATAKA
250611,ALIGARH,UTTAR PRADESH
303348,JAIPUR,RAJASTHAN
411015,PUNE,MAHARASHTRA
770023,SUNDARGARH,ODISHA
721124,MEDINIPUR WEST,WEST BENGAL
389180,DOHAD,GUJARAT
635303,DHARMAPURI,TAMIL NADU
472115,TIKAMGARH,MADHYA PRADESH
423702,AURANGABAD,MAHARASHTRA
712203,HOOGHLY,WEST BENGAL
770025,SUNDARGARH,ODISHA
110055,CENTRAL,DELHI
123001,MAHENDRAGARH,HARYANA
781171,KAMRUP METRO,ASSAM
422007,NASHIK,MAHARASHTRA
721161,MEDINIPUR WEST,WEST BENGAL
458226,NEEMUCH,MADHYA PRADESH
516505,Y.S.R.,ANDHRA PRADESH
784145,DARRANG,ASSAM
621652,TIRUCHIRAPPALLI,TAMIL NADU
852114,MADHEPURA,BIHAR
325203,KOTA,RAJASTHAN
110072,SOUTH WEST,DELHI
852220,MADHEPURA,BIHAR
344801,BARMER,RAJASTHAN
431804,NANDED,MAHARASHTRA
246130,PAURI GARHWAL,UTTARAKHAND
520015,KRISHNA,ANDHRA PRADESH
700004,KOLKATA,WEST BENGAL
689674,PATHANAMTHITTA,KERALA
243403,BAREILLY,UTTAR PRADESH
500029,HYDERABAD,TELANGANA
314402,DUNGARPUR,RAJASTHAN
416103,KOLHAPUR,MAHARASHTRA
174314,UNA,HIMACHAL PRADESH
415520,SATARA,MAHARASHTRA
176206,KANGRA,HIMACHAL PRADESH
522113,GUNTUR,ANDHRA PRADESH
321607,ALWAR,RAJASTHAN
560041,BENGALURU URBAN,KARNATAKA
712402,HOOGHLY,WEST BENGAL
688503,ALAPPUZHA,KERALA
176030,KANGRA,HIMACHAL PRADESH
325003,KOTA,RAJASTHAN
144101,JALANDHAR,PUNJAB
306308,PALI,RAJASTHAN
500098,MEDCHAL MALKAJGIRI,TELANGANA
522601,GUNTUR,ANDHRA PRADESH
799261,North Tripura,TRIPURA
600011,CHENNAI,TAMIL NADU
431131,BEED,MAHARASHTRA
203201,GAUTAM BUDDHA NAGAR,UTTAR PRADESH
785105,MAJULI,ASSAM
686538,KOTTAYAM,KERALA
505153,PEDDAPALLI,TELANGANA
533234,EAST GODAVARI,ANDHRA PRADESH
632311,TIRUVANNAMALAI,TAMIL NADU
173032,SIRMAUR,HIMACHAL PRADESH
795148,THOUBAL,MANIPUR
781360,BAKSA,ASSAM
686545,KOTTAYAM,KERALA
208008,KANPUR NAGAR,UTTAR PRADESH
623711,RAMANATHAPURAM,TAMIL NADU
742159,MURSHIDABAD,WEST BENGAL
416552,KOLHAPUR,MAHARASHTRA
625519,THENI,TAMIL NADU
416610,SINDHUDURG,MAHARASHTRA
825102,BOKARO,JHARKHAND
788738,HAILAKANDI,ASSAM
322023,SAWAI MADHOPUR,RAJASTHAN
600132,KANCHIPURAM,TAMIL NADU
444005,AKOLA,MAHARASHTRA
784117,SONITPUR,ASSAM
229305,Amethi,UTTAR PRADESH
827013,BOKARO,JHARKHAND
673122,PALAKKAD,KERALA
689573,ALAPPUZHA,KERALA
828202,DHANBAD,JHARKHAND
380004,AHMADABAD,GUJARAT
824113,AURANGABAD,BIHAR
731235,BIRBHUM,WEST BENGAL
400706,THANE,MAHARASHTRA
560072,BENGALURU URBAN,KARNATAKA
415806,RATNAGIRI,MAHARASHTRA
361002,JAMNAGAR,GUJARAT
486889,SINGRAULI,MADHYA PRADESH
534208,WEST GODAVARI,ANDHRA PRADESH
670002,KANNUR,KERALA
603301,CHENGALPATTU,TAMIL NADU
756139,BHADRAK,ODISHA
522438,GUNTUR,ANDHRA PRADESH
680612,THRISSUR,KERALA
416211,KOLHAPUR,MAHARASHTRA
456771,UJJAIN,MADHYA PRADESH
621302,TIRUCHIRAPPALLI,TAMIL NADU
828205,DHANBAD,JHARKHAND
612105,THANJAVUR,TAMIL NADU
641032,COIMBATORE,TAMIL NADU
122505,GURUGRAM,HARYANA
400077,MUMBAI SUBURBAN,MAHARASHTRA
176306,CHAMBA,HIMACHAL PRADESH
502303,MEDAK,TELANGANA
764002,KORAPUT,ODISHA
505188,PEDDAPALLI,TELANGANA
639005,KARUR,TAMIL NADU
673010,KOZHIKODE,KERALA
768218,JHARSUGUDA,ODISHA
712412,HOOGHLY,WEST BENGAL
680008,THRISSUR,KERALA
486123,REWA,MADHYA PRADESH
332711,SIKAR,RAJASTHAN
144508,Shahid Bhagat Singh Nagar,PUNJAB
517414,CHITTOOR,ANDHRA PRADESH
505187,PEDDAPALLI,TELANGANA
784523,UDALGURI,ASSAM
323301,BUNDI,RAJASTHAN
229316,RAE BARELI,UTTAR PRADESH
209747,KANNAUJ,UTTAR PRADESH
509209,NAGARKURNOOL,TELANGANA
570020,MYSURU,KARNATAKA
756043,BALESHWAR,ODISHA
145025,PATHANKOT,PUNJAB
758018,KENDUJHAR,ODISHA
475005,GWALIOR,MADHYA PRADESH
757052,MAYURBHANJ,ODISHA
143507,GURDASPUR,PUNJAB
571119,MYSURU,KARNATAKA
590009,BELAGAVI,KARNATAKA
610001,THIRUVARUR,TAMIL NADU
387370,KHEDA,GUJARAT
414501,AHMEDNAGAR,MAHARASHTRA
613204,THANJAVUR,TAMIL NADU
624308,DINDIGUL,TAMIL NADU
143304,Tarn Taran,PUNJAB
781329,BARPETA,ASSAM
480109,CHHINDWARA,MADHYA PRADESH
521162,KRISHNA,ANDHRA PRADESH
673595,WAYANAD,KERALA
306701,PALI,RAJASTHAN
843301,SITAMARHI,BIHAR
249407,HARIDWAR,UTTARAKHAND
518385,KURNOOL,ANDHRA PRADESH
246761,ALIGARH,UTTAR PRADESH
444403,WASHIM,MAHARASHTRA
627852,TENKASI,TAMIL NADU
781025,KAMRUP METRO,ASSAM
605759,KALLAKURICHI,TAMIL NADU
848301,SAMASTIPUR,BIHAR
516193,Y.S.R.,ANDHRA PRADESH
742237,MURSHIDABAD,WEST BENGAL
700153,24 PARAGANAS SOUTH,WEST BENGAL
491661,BALOD,CHHATTISGARH
470120,SAGAR,MADHYA PRADESH
631051,Ranipet,TAMIL NADU
210202,BANDA,UTTAR PRADESH
228142,SULTANPUR,UTTAR PRADESH
385421,BANAS KANTHA,GUJARAT
574260,DAKSHINA KANNADA,KARNATAKA
670303,KANNUR,KERALA
560025,BENGALURU URBAN,KARNATAKA
571125,MYSURU,KARNATAKA
110058,WEST,DELHI
691589,KOLLAM,KERALA
754071,CUTTACK,ODISHA
413581,LATUR,MAHARASHTRA
583276,BALLARI,KARNATAKA
396240,DADRA AND NAGAR HAVELI,THE DADRA AND NAGAR HAVELI AND DAMAN AND DIU
635651,Tirupathur,TAMIL NADU
700047,KOLKATA,WEST BENGAL
521327,KRISHNA,ANDHRA PRADESH
202282,ALIGARH,UTTAR PRADESH
524414,SPSR NELLORE,ANDHRA PRADESH
206130,ETAWAH,UTTAR PRADESH
686017,KOTTAYAM,KERALA
712101,HOOGHLY,WEST BENGAL
854202,ARARIA,BIHAR
263140,NAINITAL,UTTARAKHAND
182320,REASI,JAMMU AND KASHMIR
744301,NICOBARS,ANDAMAN AND NICOBAR ISLANDS
762014,BOUDH,ODISHA
246729,BIJNOR,UTTAR PRADESH
455118,DEWAS,MADHYA PRADESH
441106,NAGPUR,MAHARASHTRA
209206,KANPUR NAGAR,UTTAR PRADESH
678595,PALAKKAD,KERALA
303804,JAIPUR,RAJASTHAN
689531,PATHANAMTHITTA,KERALA
631701,TIRUVANNAMALAI,TAMIL NADU
243634,BUDAUN,UTTAR PRADESH
680642,THRISSUR,KERALA
227817,Amethi,UTTAR PRADESH
140102,RUPNAGAR,PUNJAB
686610,KOTTAYAM,KERALA
382120,AHMADABAD,GUJARAT
515741,ANANTAPUR,ANDHRA PRADESH
343040,JALORE,RAJASTHAN
284201,JHANSI,UTTAR PRADESH
458558,MANDSAUR,MADHYA PRADESH
521207,KRISHNA,ANDHRA PRADESH
523135,PRAKASAM,ANDHRA PRADESH
573129,HASSAN,KARNATAKA
176309,CHAMBA,HIMACHAL PRADESH
680522,THRISSUR,KERALA
241127,HARDOI,UTTAR PRADESH
782412,MARIGAON,ASSAM
456665,UJJAIN,MADHYA PRADESH
682034,ERNAKULAM,KERALA
362120,JUNAGADH,GUJARAT
301026,ALWAR,RAJASTHAN
387001,KHEDA,GUJARAT
796091,KOLASIB,MIZORAM
365620,AMRELI,GUJARAT
682307,ERNAKULAM,KERALA
328023,DHOLPUR,RAJASTHAN
482020,JABALPUR,MADHYA PRADESH
683513,ERNAKULAM,KERALA
282004,AGRA,UTTAR PRADESH
207125,ETAH,UTTAR PRADESH
761002,GANJAM,ODISHA
607303,CUDDALORE,TAMIL NADU
782144,NAGAON,ASSAM
491441,RAJNANDGAON,CHHATTISGARH
785009,JORHAT,ASSAM
275306,MAU,UTTAR PRADESH
627116,TIRUNELVELI,TAMIL NADU
829203,LATEHAR,JHARKHAND
689572,ALAPPUZHA,KERALA
845425,PURBI CHAMPARAN,BIHAR
285203,HAMIRPUR,UTTAR PRADESH
396002,VALSAD,GUJARAT
311603,BHILWARA,RAJASTHAN
246728,BIJNOR,UTTAR PRADESH
484661,UMARIA,MADHYA PRADESH
461122,HOSHANGABAD,MADHYA PRADESH
415536,SATARA,MAHARASHTRA
462030,BHOPAL,MADHYA PRADESH
670645,WAYANAD,KERALA
415402,SANGLI,MAHARASHTRA
743127,24 PARAGANAS NORTH,WEST BENGAL
488442,PANNA,MADHYA PRADESH
400080,MUMBAI SUBURBAN,MAHARASHTRA
505212,PEDDAPALLI,TELANGANA
627004,TIRUNELVELI,TAMIL NADU
263156,NAINITAL,UTTARAKHAND
629802,KANNIYAKUMARI,TAMIL NADU
636306,SALEM,TAMIL NADU
759103,ANUGUL,ODISHA
410406,PUNE,MAHARASHTRA
824304,AURANGABAD,BIHAR
503308,NIZAMABAD,TELANGANA
577134,CHIKKAMAGALURU,KARNATAKA
144410,JALANDHAR,PUNJAB
335024,GANGANAGAR,RAJASTHAN
175020,MANDI,HIMACHAL PRADESH
207402,Kasganj,UTTAR PRADESH
577139,CHIKKAMAGALURU,KARNATAKA
394107,SURAT,GUJARAT
461116,HOSHANGABAD,MADHYA PRADESH
621209,TIRUCHIRAPPALLI,TAMIL NADU
844122,VAISHALI,BIHAR
782002,NAGAON,ASSAM
202130,ALIGARH,UTTAR PRADESH
481672,DINDORI,MADHYA PRADESH
518511,KURNOOL,ANDHRA PRADESH
743399,24 PARAGANAS SOUTH,WEST BENGAL
425408,DHULE,MAHARASHTRA
799104,Dhalai,TRIPURA
638401,ERODE,TAMIL NADU
690106,ALAPPUZHA,KERALA
394440,SURAT,GUJARAT
221716,BALLIA,UTTAR PRADESH
422204,NASHIK,MAHARASHTRA
431520,BEED,MAHARASHTRA
452012,INDORE,MADHYA PRADESH
403707,SOUTH GOA,GOA
261125,SITAPUR,UTTAR PRADESH
415620,RATNAGIRI,MAHARASHTRA
458113,NEEMUCH,MADHYA PRADESH
517416,CHITTOOR,ANDHRA PRADESH
517421,CHITTOOR,ANDHRA PRADESH
570011,MYSURU,KARNATAKA
577004,DAVANGERE,KARNATAKA
606102,KALLAKURICHI,TAMIL NADU
680013,THRISSUR,KERALA
689624,ALAPPUZHA,KERALA
752085,NAYAGARH,ODISHA
800011,PATNA,BIHAR
533247,EAST GODAVARI,ANDHRA PRADESH
577117,CHIKKAMAGALURU,KARNATAKA
382721,GANDHINAGAR,GUJARAT
416550,SINDHUDURG,MAHARASHTRA
331801,BIKANER,RAJASTHAN
403103,SOUTH GOA,GOA
487225,NARSINGHPUR,MADHYA PRADESH
585321,YADGIR,KARNATAKA
735218,JALPAIGURI,WEST BENGAL
312403,CHITTORGARH,RAJASTHAN
442302,WARDHA,MAHARASHTRA
743123,24 PARAGANAS NORTH,WEST BENGAL
764020,KORAPUT,ODISHA
342037,JODHPUR,RAJASTHAN
172117,LAHUL AND SPITI,HIMACHAL PRADESH
825421,KODERMA,JHARKHAND
305025,AJMER,RAJASTHAN
328031,DHOLPUR,RAJASTHAN
606901,TIRUVANNAMALAI,TAMIL NADU
332030,SIKAR,RAJASTHAN
416404,SANGLI,MAHARASHTRA
394405,SURAT,GUJARAT
737134,EAST DISTRICT,SIKKIM
523167,PRAKASAM,ANDHRA PRADESH
391120,NARMADA,GUJARAT
490042,DURG,CHHATTISGARH
416606,SINDHUDURG,MAHARASHTRA
416403,SANGLI,MAHARASHTRA
822121,GARHWA,JHARKHAND
303325,DAUSA,RAJASTHAN
606803,TIRUVANNAMALAI,TAMIL NADU
282007,AGRA,UTTAR PRADESH
641031,COIMBATORE,TAMIL NADU
736171,COOCHBEHAR,WEST BENGAL
764004,KORAPUT,ODISHA
844125,VAISHALI,BIHAR
673316,KANNUR,KERALA
700025,KOLKATA,WEST BENGAL
735216,Alipurduar,WEST BENGAL
122010,GURUGRAM,HARYANA
246128,PAURI GARHWAL,UTTARAKHAND
505425,Jagitial,TELANGANA
761003,GANJAM,ODISHA
230403,PRATAPGARH,UTTAR PRADESH
752068,NAYAGARH,ODISHA
209739,FARRUKHABAD,UTTAR PRADESH
431504,JALNA,MAHARASHTRA
797004,KOHIMA,NAGALAND
623503,RAMANATHAPURAM,TAMIL NADU
370140,KACHCHH,GUJARAT
383410,SABAR KANTHA,GUJARAT
691533,KOLLAM,KERALA
700084,24 PARAGANAS SOUTH,WEST BENGAL
177020,HAMIRPUR,HIMACHAL PRADESH
795133,BISHNUPUR,MANIPUR
625503,MADURAI,TAMIL NADU
803306,PATNA,BIHAR
670621,KANNUR,KERALA
271124,GONDA,UTTAR PRADESH
144222,HOSHIARPUR,PUNJAB
783373,CHIRANG,ASSAM
784169,Biswanath,ASSAM
636202,NAMAKKAL,TAMIL NADU
531020,VISAKHAPATANAM,ANDHRA PRADESH
625015,MADURAI,TAMIL NADU
721457,MEDINIPUR WEST,WEST BENGAL
209864,UNNAO,UTTAR PRADESH
621219,PERAMBALUR,TAMIL NADU
631605,KANCHIPURAM,TAMIL NADU
411047,PUNE,MAHARASHTRA
682315,ERNAKULAM,KERALA
673576,WAYANAD,KERALA
723154,PURULIA,WEST BENGAL
627117,TIRUNELVELI,TAMIL NADU
583102,BALLARI,KARNATAKA
841313,SARAN,BIHAR
622202,PUDUKKOTTAI,TAMIL NADU
612901,Ariyalur,TAMIL NADU
509321,RANGA REDDY,TELANGANA
758025,JAJAPUR,ODISHA
361240,JAMNAGAR,GUJARAT
440006,NAGPUR,MAHARASHTRA
466445,SEHORE,MADHYA PRADESH
700092,KOLKATA,WEST BENGAL
176305,CHAMBA,HIMACHAL PRADESH
416526,KOLHAPUR,MAHARASHTRA
583228,KOPPAL,KARNATAKA
389146,DOHAD,GUJARAT
761041,GANJAM,ODISHA
244720,UDAM SINGH NAGAR,UTTARAKHAND
679308,PALAKKAD,KERALA
301404,ALWAR,RAJASTHAN
450221,BURHANPUR,MADHYA PRADESH
124104,JHAJJAR,HARYANA
480449,CHHINDWARA,MADHYA PRADESH
700089,24 PARAGANAS NORTH,WEST BENGAL
305801,AJMER,RAJASTHAN
452002,INDORE,MADHYA PRADESH
515561,ANANTAPUR,ANDHRA PRADESH
